STUDENT_ID,CLASSIFICATION,PRIMARY_COLLEGE,SECONDARY_COLLEGE,HC_OR_COE,USAGE_OVER_LAST_90_DAYS
934414280,Junior,College of Engineering,N/A,COE,4
934414622,Graduate,College of Engineering,N/A,COE,3
934416157,Junior,College of Engineering,N/A,COE,0
934416450,Senior,College of Engineering,N/A,COE,0
934416648,Senior,College of Engineering,N/A,Both,3
934416836,Junior,College of Engineering,N/A,Both,0
934417072,Junior,College of Engineering,N/A,COE,4
934417264,Junior,College of Forestry,"College of Earth, Ocean, and Atmospheric Sciences",HC,29
934417535,Senior,College of Engineering,N/A,COE,1
934417744,Junior,College of Engineering,N/A,COE,0
934418279,Junior,College of Science,N/A,HC,0
934418283,Senior,College of Science,N/A,HC,0
934418582,Sophomore,College of Engineering,N/A,Both,0
934418748,Graduate,College of Engineering,N/A,COE,6
934419034,Senior,College of Science,N/A,HC,0
934419295,Junior,College of Engineering,N/A,COE,0
934419539,Senior,College of Science,N/A,HC,1
934420014,Senior,College of Business,College of Liberal Arts,HC,0
934420289,Sophomore,College of Engineering,N/A,COE,2
934420329,Senior,College of Engineering,N/A,Both,0
934420341,Senior,College of Agricultural Sciences,N/A,HC,2
934420375,Senior,College of Engineering,N/A,COE,0
934420416,Junior,College of Engineering,N/A,COE,1
934420612,Senior,College of Engineering,N/A,COE,0
934420657,Sophomore,College of Science,N/A,HC,0
934420676,Junior,College of Liberal Arts,N/A,HC,0
934420682,Senior,College of Engineering,N/A,Both,0
934420709,Senior,College of Business,N/A,HC,0
934420718,Graduate,College of Engineering,N/A,COE,0
934420722,Senior,College of Engineering,N/A,COE,3
934420892,Senior,College of Engineering,N/A,COE,0
934420921,Senior,College of Engineering,N/A,COE,0
934420944,Junior,College of Engineering,N/A,COE,5
934421588,Junior,College of Engineering,N/A,COE,3
934421625,Senior,College of Science,College of Liberal Arts,HC,0
934421630,Senior,College of Engineering,College of Agricultural Sciences,Both,0
934421638,Junior,College of Engineering,N/A,COE,0
934422041,Senior,College of Liberal Arts,N/A,HC,0
934422069,Junior,College of Engineering,N/A,COE,0
934422267,Sophomore,College of Engineering,N/A,COE,3
934422278,Junior,College of Engineering,N/A,COE,0
934422587,Senior,College of Engineering,N/A,Both,4
934422596,Senior,College of Engineering,N/A,COE,0
934422597,Senior,College of Engineering,N/A,COE,0
934422609,Senior,College of Liberal Arts,N/A,HC,0
934422628,Senior,College of Engineering,N/A,Both,0
934423100,Freshman,College of Forestry,N/A,HC,0
934423969,Senior,College of Engineering,N/A,Both,0
934424034,Sophomore,College of Engineering,N/A,COE,1
934424090,Junior,College of Engineering,N/A,Both,0
934424095,Senior,College of Forestry,College of Engineering,Both,0
934424162,Senior,College of Engineering,N/A,COE,0
934424259,Senior,College of Engineering,N/A,Both,0
934424307,Graduate,College of Engineering,N/A,COE,1
934424382,Senior,College of Science,N/A,HC,0
934424401,Senior,College of Engineering,N/A,COE,0
934424457,Senior,College of Engineering,N/A,COE,2
934424504,Senior,College of Science,N/A,HC,0
934424705,Junior,College of Engineering,N/A,Both,0
934424747,Sophomore,College of Engineering,N/A,COE,9
934424792,Senior,College of Science,N/A,HC,0
934424798,Senior,College of Public Health and Human Sciences,N/A,HC,0
934424816,Senior,College of Agricultural Sciences,N/A,HC,1
934424946,Junior,College of Engineering,N/A,COE,0
934424948,Junior,College of Engineering,N/A,COE,0
934424956,Junior,College of Science,N/A,HC,0
934425002,Senior,College of Health,N/A,HC,0
934425030,Senior,College of Engineering,N/A,COE,0
934425033,Senior,College of Engineering,N/A,COE,0
934425063,Graduate,College of Engineering,N/A,COE,3
934425184,Senior,College of Engineering,N/A,COE,0
934425230,Senior,College of Science,N/A,HC,0
934425379,Sophomore,College of Engineering,N/A,COE,1
934425387,Senior,College of Engineering,N/A,COE,0
934425434,Freshman,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
934425526,Senior,College of Engineering,N/A,COE,0
934425672,Senior,College of Agricultural Sciences,N/A,HC,0
934425676,Senior,College of Engineering,N/A,Both,1
934425679,Sophomore,College of Engineering,N/A,COE,0
934425703,Senior,College of Engineering,N/A,COE,0
934425735,Senior,College of Engineering,N/A,COE,0
934425847,Senior,College of Science,N/A,HC,0
934425860,Junior,College of Engineering,N/A,COE,3
934425877,Senior,College of Engineering,N/A,COE,1
934425977,Senior,College of Engineering,N/A,COE,1
934426160,Junior,"College of Earth, Ocean, and Atmospheric Sciences",N/A,HC,0
934426201,Senior,College of Engineering,N/A,COE,0
934426227,Junior,College of Engineering,N/A,COE,4
934426234,Senior,College of Engineering,N/A,COE,1
934426268,Senior,College of Engineering,N/A,COE,0
934426275,Senior,College of Science,N/A,HC,0
934426307,Junior,College of Engineering,N/A,COE,1
